feature,importance,importance_pct
media_num,36585.98122989159,78.68048914272246
pontos_rodadas_mean,8621.731469466817,18.541584138807107
position_percentile,489.0344081733057,1.051699726212632
variacao_num,244.3127752210712,0.5254102257753454
preco_num,241.25630249129586,0.5188370859729984
value_score,172.35071360587608,0.37065121652465743
value_vs_position,73.73945320483486,0.15858140337460866
position_avg_points,31.126339094683225,0.06693918005924637
player_avg_points,16.64555067475885,0.03579731976875234
posicao_encoded,9.892915973814226,0.021275347597664043
jogos_num,8.988605265622027,0.019330569667273825
points_change,3.013743042945862,0.006481246881953858
num_rodadas_jogou,1.0394202442839742,0.0022353396163198517
status_id,0.3199426116398172,0.0006880570189779081
rodada_id,0.0,0.0
pontos_rodadas_std,0.0,0.0
player_games_count,0.0,0.0
player_consistency,0.0,0.0
points_prev_round,0.0,0.0
